ID;Transliteración;Fecha de Publicación;Estado de Verificación;Categoría Gramatical;Ortografía Jeroglífica;Traducción EN;Traducción FR;Cronología;Comentario;Diccionario;Lexicons y Regular Indexes;Further References;Autor
12170;qȝy.t / qȝ.t/ q(ȝ).y;Published the Jun 30, 2023 at 18:41;validated;;"https://app.vega-lexique.fr/api/files/3e8fda88-83f4-4266-83c0-8470222cf762.svg
https://app.vega-lexique.fr/api/files/b7ecfe3e-fbb6-4a4f-b404-ece47fd70346.svg";"high ground, field ; arable land ; field";"haute terre, terrain élevé ; terre arable ; champ";;;"Wb
V, 6, 4-9 (qȝ.t, qȝj.t)Faulkner, CD
275 (qȝy.t)Wilson, PL
1043-1044 (qȝy.t)Lesko, DLE2
II, 143 (qȝy.t)Hannig, ÄWb II
2506 {33895-33896} (qȝy.t, qȝ.t)";"Meeks, AnLex
77.4347 (qȝj.t) ; 78.4238 (qȝj.t)LGG
V, 174bc (qȝj.t)TLA (Lemma n°)
159160 (qȝ.yt) ; 860474 (qȝ.yt)";;
12171;šwr;Published the Sep 20, 2024 at 10:46;wrongGraphy;;"https://app.vega-lexique.fr/api/files/06383c63-5979-415a-b3a9-77dcb545e3b8.svg
https://app.vega-lexique.fr/api/files/26fadc66-3896-432a-94bb-18fc05eacb7b.svg";(a piece of furniture);(un meuble);"21st dyn
22nd dyn";;"Wb
IV, 436, 2 ";"TLA (Lemma n°)
153140 ";;
12172;ḫn;Published the Jun 30, 2023 at 18:56;validated;;https://app.vega-lexique.fr/api/files/4d0dab47-15fe-460c-90db-29a2c8723f4e.svg;(a skin, a fur?);(une peau, une fourrure ?);4th dyn;;"Hannig, ÄWb I
948 {46336}";"Wd (s. v.)
ḫn";;
12173;šwšw;Published the Sep 20, 2024 at 10:50;wrongGraphy;;"https://app.vega-lexique.fr/api/files/5fa02b62-e1b1-4157-8089-0193212e1e25.svg
https://app.vega-lexique.fr/api/files/d62d974a-42f7-4d6c-80be-f7066db007d6.svg";to ascend;monter;12th dyn;;"van der Molen, HDECT
612";;;
12174;ḫn(w);Published the Jun 30, 2023 at 19:02;problematic;;https://app.vega-lexique.fr/api/files/ba602f8b-76f7-4a29-afdf-29f8158b8f0d.svg;(meaning unknown);(sens inconnu);"6th dyn
7th dyn
8th dyn
9th dyn
10th dyn
11e dyn
11th dyn
12th dyn";;"van der Molen, HDECT
391Hannig, ÄWb II
1892 {23536}";"Borghouts, van der Plas, CTWI
227-228";;
12175;ḫȝ(y)dy.w;Published the Jan 8, 2024 at 11:03;validated;;"https://app.vega-lexique.fr/api/files/b0c86f67-6b35-4368-9a71-209ad7a9ab97.svg
https://app.vega-lexique.fr/api/files/d940fb55-2700-401e-966a-94252fb73338.svg";slaughterers;massacreurs;;;;"Wd (s. v.)
ḫȝjdjw";;
12176;ḫȝp;Published the Mar 22, 2024 at 14:48;validated;;https://app.vega-lexique.fr/api/files/09858294-1835-4a5d-b439-81007d2631ca.svg;plank;planche;"19th dyn
20th dyn";;;"Meeks, AnLex
79.2146TLA (Lemma n°)
113960";;
12177;qȝr.t / qrjw / qr / qr.t;Published the Jul 7, 2023 at 19:37;validated;;https://app.vega-lexique.fr/api/files/54711880-2ef0-4d83-b473-6e8fefb3ddf5.svg;door-bolt;verrou;;;"Wb
V, 12, 2-7 (qȝr.t) ; 58 (qr.t) ; 59 (qrj.w)Faulkner, CD
276 (qȝr.t) ; 280 (qr.t)Lesko, DLE2
II, 144 (qȝr) ; 156 (qrj)van der Molen, HDECT
647 (qȝr.t) ; 655 (qrr.t)Hannig, ÄWb I
1328 {33974} (qȝr.t, qȝȝ.t, qlj.t, qȝn.t, qnr)Hannig, ÄWb II
2508 {33974-33975} (qȝr.t, qȝȝ.t, qlj.t, qȝn.t, qnr)";"Meeks, AnLex
77.4355 (qȝr.t) ; 78.4246 (qȝr.t)LGG
V, 176b (qȝr.wt)Wd (s. v.)
qȝr.t ; qrtTLA (Lemma n°)
159380 (qȝr.t) ; 161590 (qr.t)";;
12178;ḫȝpw / ḫpw;Published the Apr 5, 2024 at 22:57;validated;;"https://app.vega-lexique.fr/api/files/d6649752-58ac-4a9a-87a3-3352bd2aa1b2.svg
https://app.vega-lexique.fr/api/files/7fb07317-b47e-4d8e-92cf-cb4ddffdf25b.svg";(a body of water);(une étendue d’eau);"19th dyn
20th dyn";;"Lesko, DLE2
I, 348 (ḫȝpw)";"Meeks, AnLex
78.2941 (ḫȝp)Wd (s. v.)
ḫpw";;
12179;ḫȝpw;Published the Apr 5, 2024 at 22:57;validated;;https://app.vega-lexique.fr/api/files/c907a7aa-74e2-4df4-a321-1ff7fcc8a2b7.svg;(meaning unknown);(sens inconnu);20th dyn;;"Wb
III, 230, 11";"Meeks, AnLex
78.2942TLA (Lemma n°)
113970";;
12180;ḫnt(y);Published the Jul 7, 2023 at 19:42;validated;;"https://app.vega-lexique.fr/api/files/4a519557-4e15-49f8-bec9-70c457ee001e.svg
https://app.vega-lexique.fr/api/files/22a21d33-294e-401d-a74d-eae4d3ef3fba.svg";rack for jars, pot stand, sideboard, cellar;support de jarres, buffet, dressoir, cellier;;;"Wb
III, 301, 12Faulkner, CD
194Wilson, PL
738-739Kahl, FWb
355-356 ; 356 (ḫnt.t)Lesko, DLE2
cf. I, 367 (ḫnty)Hannig, ÄWb I
954 {23746}Hannig, ÄWb II
1901 {23746} ; 1901 {23747}";"Meeks, AnLex
77.3121Borghouts, van der Plas, CTWI
229Wd (s. v.)
ḫntTLA (Lemma n°)
118780";;
12181;ḫntj;Published the Jun 3, 2024 at 11:01;validated;;"https://app.vega-lexique.fr/api/files/a5f2e7db-b5cc-406c-8e72-47eedddcc519.svg
https://app.vega-lexique.fr/api/files/7572135c-88a2-4599-bac8-9f4add0c3abd.svg";"to go, to sail, to fare, to travel, (upstream, southward, south); upstream, southward, south";"aller, naviguer, voyager (en amont, vers le sud), remonter (le courant) ; amont, sud";;;"Wb
III, 309, 3-22Grundriss 7
663Faulkner, CD
195 ; cf. 194 (ḫnty)Wilson, PL
741Lesko, DLE2
I, 366 ; cf. 170 (m-ḫnt)van der Molen, HDECT
399Hannig, ÄWb I
958-959 {23819-23820}Hannig, ÄWb II
1911-1912 {23819-23823}";"Meeks, AnLex
77.3130 ; 78.3078 ; 79.2243Borghouts, van der Plas, CTWI
229-230LGG
V, 937b-938bDendTrad V-VI
377Wd (s. v.)
ḫntjTLA (Lemma n°)
119140 ; 854202 (ḫnt-m-nw.w)
cf. 850635 (m-ḫnt.yt)";;
